Año,Trimestre, Com,SEMAR,SEDENA ,SEMAR+SEDENA,Gasto Marina,Gasto DN,Gsp,Ied (mmdd),Cm,,,,,
2007,1,19,0,10,10,2186.5,6969.2,9155.7,10843.2,35,,,,,
2007,2,42,0,18,18,2781,7031.2,9812.2,6169.1,35,,,,,
2007,3,18,0,5,5,2922.9,9719.5,12642.4,7628.6,35,,,,,
2007,4,31,1,15,16,4276.3,10362,14638.3,7843.5,35,,,,,
2008,1,69,0,23,23,2589,7406.6,9995.6,8546.1,30,,,,,
2008,2,110,0,17,17,3637.9,7380.5,11018.4,8403.4,30,,,,,
2008,3,162,0,28,28,4070.8,10113,14183.8,5647.9,30,,,,,
2008,4,135,1,38,39,4875.8,12183.8,17059.6,6935.3,30,,,,,
2009,1,117,1,34,35,3424,9143,12567,6103.7,33,,,,,
2009,2,98,0,47,47,4086.3,10706,14792.3,6100.7,33,,,,,
2009,3,136,3,62,65,3959.3,11370.1,15329.4,2397.5,33,,,,,
2009,4,135,3,64,67,4881.2,13433.2,18314.4,3252.9,33,,,,,
2010,1,237,8,129,137,3756.8,9845.2,13602,8722.3,31,,,,,
2010,2,296,13,143,156,4398.3,10175.3,14573.6,9301.6,31,,,,,
2010,3,341,11,176,187,4273.4,13980.6,18254,3932.9,31,,,,,
2010,4,345,16,173,189,5901.6,18241.6,24143.2,5236.5,31,,,,,
2011,1,426,16,240,256,3860.1,10553,14413.1,8429.9,30,,,,,
2011,2,456,19,261,280,4402.5,16880.9,21283.4,6648.2,30,,,,,
2011,3,441,19,273,292,4820,15294,20114,4349.8,30,,,,,
2011,4,221,8,235,243,6964,20680.4,27644.4,6153.2,30,,,,,
2012,1,,6,224,230,4203.6,11782.7,15986.3,7868.9,34,,,,,
2012,2,,8,197,205,5078.8,14885.4,19964.2,5627.8,34,,,,,
2012,3,,12,190,202,5259.9,13237.7,18497.6,5735.2,34,,,,,
2012,4,,14,203,217,6674.2,21210.7,27884.9,2517.9,34,,,,,
2013,1,,5,138,143,4160.1,11964.6,16124.7,10472.5,34,,,,,
2013,2,,8,130,138,5538.2,14432.4,19970.6,21009.1,34,,,,,
2013,3,,6,95,101,6096,15133.6,21229.6,4179,34,,,,,
2013,4,,16,119,135,8153.8,19656.3,27810.1,12583.6,34,,,,,
2014,1,,17,86,103,6479.4,12638.5,19117.9,13949.7,35,,,,,
2014,2,,18,83,101,6844.3,13767.8,20612.1,5515.5,35,,,,,
2014,3,,10,63,73,6304,18184,24488,3221.9,35,,,,,
2014,4,,7,44,51,7424.7,22897.2,30321.9,7838,35,,,,,
2015,1,,8,66,74,6604.6,15248.6,21853.2,12059.1,31,,,,,
2015,2,,8,49,57,6365.1,16361.3,22726.4,6596.6,31,,,,,
2015,3,,4,32,36,8171.4,18012.5,26183.9,9626.4,31,,,,,
2015,4,,7,39,46,9394.4,23913.3,33307.7,7235.2,31,,,,,
2016,1,,15,56,71,7783.8,16188.5,23972.3,12807.3,30,,,,,
2016,2,,7,29,36,6555.5,15390.1,21945.6,6171.1,30,,,,,
2016,3,,7,52,59,8851.6,19557.2,28408.8,4386.7,30,,,,,
2016,4,,13,34,47,8930.8,23224.8,32155.6,7807.9,30,,,,,
2017,1,,13,53,66,,,24046.4,13778.1,29,,,,,
2017,2,,16,84,100,,,24723.9,6793.6,29,,,,,
2017,3,,19,84,103,,,26744.3,6518.9,29,,,,,
2017,4,,11,82,93,,,32262.3,7191.5,29,,,,,
2018,1,,20,63,83,,,25768.4,13415.1,28,,,,,
2018,2,,9,52,61,,,28765.6,9559.7,28,,,,,
2018,3,,5,94,99,,,29365.4,4000.6,28,,,,,
2018,4,,2,60,62,,,31065.2,6968.2,28,,,,,
2019,1,,2,61,63,,,25849.8,14523.8,29,,,,,
2019,2,,3,65,68,,,29390,6424.5,29,,,,,
2019,3,,1,58,59,,,31080,8342.4,29,,,,,
2019,4,,2,58,60,,,51995.3,4977.9,29,,,,,
2020,1,,,,,,,30887.8,16748.6,31,,,,,
2020,2,,,-,,,,28047.6,7286.1,31,,,,,
2020,3,,,-,,,,30829.1,1279.4,31,,,,,
2020,4,,,-,,,,63518.6,2320.9,31,,,,,
2021,1,,,-,,,,,13577.5,-,,,,,
2021,2,,,-,,,,,5807.9,-,,,,,
2021,3,,,-,,,,,5446.3,-,,,,,
